2024-10-04 12:17:49,899 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Configure stats pid to 212884
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Loading settings from /home/geo_llm/.config/wandb/settings
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Loading settings from /home/geo_llm/llama3-finetune/wandb/settings
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'Evaluate_Llama3.py', 'program_abspath': '/home/geo_llm/llama3-finetune/Evaluate_Llama3.py', 'program': '/home/geo_llm/llama3-finetune/Evaluate_Llama3.py'}
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-04 12:17:49,900 INFO    MainThread:212884 [wandb_init.py:_log_setup():524] Logging user logs to /home/geo_llm/llama3-finetune/wandb/run-20241004_121749-hrufqzjq/logs/debug.log
2024-10-04 12:17:49,901 INFO    MainThread:212884 [wandb_init.py:_log_setup():525] Logging internal logs to /home/geo_llm/llama3-finetune/wandb/run-20241004_121749-hrufqzjq/logs/debug-internal.log
2024-10-04 12:17:49,901 INFO    MainThread:212884 [wandb_init.py:init():607] calling init triggers
2024-10-04 12:17:49,901 INFO    MainThread:212884 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-10-04 12:17:49,901 INFO    MainThread:212884 [wandb_init.py:init():657] starting backend
2024-10-04 12:17:49,901 INFO    MainThread:212884 [wandb_init.py:init():661] setting up manager
2024-10-04 12:17:49,903 INFO    MainThread:212884 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-04 12:17:49,903 INFO    MainThread:212884 [wandb_init.py:init():669] backend started and connected
2024-10-04 12:17:49,905 INFO    MainThread:212884 [wandb_init.py:init():767] updated telemetry
2024-10-04 12:17:49,911 INFO    MainThread:212884 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-10-04 12:17:50,378 INFO    MainThread:212884 [wandb_init.py:init():851] starting run threads in backend
2024-10-04 12:17:53,894 INFO    MainThread:212884 [wandb_run.py:_console_start():2463] atexit reg
2024-10-04 12:17:53,894 INFO    MainThread:212884 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-10-04 12:17:53,894 INFO    MainThread:212884 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-10-04 12:17:53,894 INFO    MainThread:212884 [wandb_run.py:_redirect():2399] Redirects installed.
2024-10-04 12:17:53,896 INFO    MainThread:212884 [wandb_init.py:init():894] run started, returning control to user process
2024-10-04 16:54:32,132 INFO    MainThread:212884 [wandb_run.py:_finish():2160] finishing run tanghulu/HuMob2024/hrufqzjq
2024-10-04 16:54:32,132 INFO    MainThread:212884 [wandb_run.py:_atexit_cleanup():2424] got exitcode: 0
2024-10-04 16:54:32,132 INFO    MainThread:212884 [wandb_run.py:_restore():2406] restore
2024-10-04 16:54:32,132 INFO    MainThread:212884 [wandb_run.py:_restore():2412] restore done
2024-10-04 16:54:32,132 INFO    MainThread:212884 [wandb_run.py:_on_finish():2677] communicating current version
2024-10-04 16:54:35,115 INFO    MainThread:212884 [wandb_run.py:_on_finish():2686] got version response upgrade_message: "wandb version 0.18.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-10-04 16:54:41,403 INFO    MainThread:212884 [wandb_run.py:_footer_history_summary_info():4078] rendering history
2024-10-04 16:54:41,404 INFO    MainThread:212884 [wandb_run.py:_footer_history_summary_info():4110] rendering summary
2024-10-04 16:54:41,415 INFO    MainThread:212884 [wandb_run.py:_footer_sync_info():4037] logging synced files
